episode,total_reward,avg_loss,epsilon,steps,elapsed_s
1,-130.69,0.035788,0.9813,2000,30.0
2,-139.83,0.02145,0.9624,2000,31.6
3,-129.94,0.019588,0.9438,2000,32.6
4,-131.37,0.019636,0.9255,2000,33.1
5,-107.85,0.021251,0.9077,2000,33.2
6,-123.36,0.022786,0.8901,2000,31.4
7,-132.72,0.023939,0.873,2000,31.8
8,-120.96,0.023475,0.8561,2000,31.1
9,-125.93,0.023488,0.8396,2000,31.9
10,-130.0,0.023852,0.8234,2000,31.6
11,-89.29,0.02411,0.8075,2000,34.0
12,-129.05,0.024075,0.7919,2000,36.1
13,-129.26,0.026133,0.7766,2000,32.6
14,-134.58,0.025551,0.7616,2000,34.6
15,-120.69,0.025399,0.7469,2000,32.0
16,-93.47,0.026069,0.7324,2000,32.0
17,-128.33,0.025561,0.7183,2000,31.2
18,-127.87,0.026764,0.7044,2000,47.7
19,-132.26,0.027,0.6908,2000,39.6
20,-83.21,0.027601,0.6775,2000,34.6
21,-125.65,0.030173,0.6644,2000,33.3
22,-125.27,0.029326,0.6516,2000,33.9
23,-124.19,0.030254,0.639,2000,32.9
24,-125.27,0.029443,0.6266,2000,37.1
25,-129.49,0.029529,0.6145,2000,32.2
26,-132.69,0.028327,0.6027,2000,32.9
27,-122.56,0.02885,0.591,2000,33.3
28,-109.09,0.029015,0.5796,2000,33.9
29,-128.34,0.029386,0.5684,2000,34.0
30,-38.71,0.031565,0.5575,2000,32.6
31,-125.09,0.03164,0.5467,2000,32.7
32,-123.61,0.030206,0.5361,2000,34.5
33,-136.24,0.029843,0.5258,2000,34.0
34,-125.8,0.030807,0.5156,2000,34.5
35,-126.32,0.032929,0.5057,2000,33.8
36,-140.99,0.03078,0.4959,2000,32.9
37,-72.85,0.032283,0.4863,2000,33.5
38,-121.71,0.032098,0.4769,2000,34.3
39,-120.58,0.032049,0.4677,2000,33.6
40,-110.51,0.032042,0.4587,2000,32.9
41,-32.73,0.032921,0.4498,2000,35.4
42,-120.96,0.034274,0.4411,2000,34.7
43,-53.93,0.034849,0.4326,2000,33.3
44,-120.29,0.035303,0.4243,2000,32.5
45,-121.93,0.036558,0.4161,2000,32.0
46,-118.22,0.035777,0.408,2000,32.5
47,-77.48,0.035814,0.4002,2000,32.9
48,-129.05,0.03708,0.3924,2000,32.2
49,-117.53,0.03754,0.3849,2000,33.7
50,-116.96,0.038255,0.3774,2000,33.4
51,-133.54,0.038415,0.3701,2000,33.9
52,-9.02,0.041146,0.3681,595,10.0
53,-87.48,0.050148,0.3648,946,16.4
54,-20.42,0.056102,0.3578,2000,33.5
55,-122.58,0.053601,0.3509,2000,33.6
56,-121.99,0.055286,0.3441,2000,33.5
57,-220.05,0.057169,0.3375,1994,34.0
58,-56.37,0.065963,0.3348,861,14.6
59,-124.09,0.056715,0.3283,2000,35.4
60,-96.06,0.064064,0.322,2000,36.7
61,-56.12,0.060831,0.3157,2000,35.9
62,-152.56,0.069534,0.3108,1634,29.3
63,-123.24,0.070653,0.3058,1662,29.0
64,-107.83,0.062815,0.3032,899,14.7
65,-107.95,0.082234,0.3014,667,11.0
66,-173.4,0.087707,0.2971,1457,24.9
67,-228.6,0.087239,0.2917,1910,33.3
68,-84.42,0.090317,0.2902,562,9.1
69,-105.75,0.082996,0.2887,547,9.7
70,-94.17,0.098514,0.287,670,11.3
71,-49.13,0.116037,0.2844,930,16.3
72,-166.68,0.093148,0.2807,1372,23.5
73,-87.98,0.113091,0.2788,717,12.6
74,-61.39,0.110854,0.2735,2000,36.5
75,-33.99,0.120717,0.2682,2000,34.2
76,-85.52,0.112212,0.263,2000,36.3
