episode,"Baseline (lr=1e-4, γ=0.99)",High lr (lr=5e-4),Low gamma (γ=0.95),Fast decay (ε-decay=0.999),Large batch (batch=128)
0,-108.12720848056307,-111.66077738515752,-101.06007067137631,-76.32508833922164,-93.99293286218928
1,-163.69636963695885,-130.6930693069282,-120.79207920791832,-133.99339933993065,-120.79207920791816
2,-139.82808022922316,-145.55873925501064,-208.09340974211892,-119.77077363896532,-165.61604584526708
3,-155.41401273884924,-133.12101910827755,-142.67515923566543,-154.6210191082812,-149.0445859872562
4,-164.0522875816945,-131.3725490196053,-147.7124183006499,-147.71241830064966,-116.16535947712399
5,-165.8703071672305,-107.84982935153313,-97.6109215017063,-63.48122866893993,-141.97952218429705
6,-148.90510948904694,-119.70802919707859,-141.60583941605512,-141.60583941605486,-148.90510948904705
7,-148.0122324158984,-135.7798165137586,-106.57981651376203,-111.31498470947895,-154.1284403669683
8,-59.106529209624156,-127.83505154638694,-127.83505154638931,-110.65292096219454,-148.4536082474189
9,-132.65993265992984,-132.6599326599293,-119.19191919191746,-102.35690235690058,-159.5959595959548
10,-129.99999999999753,-36.66666666666881,-149.999999999996,-106.66666666666553,-166.6666666666616
11,-92.85714285713952,-110.71428571428339,-89.2857142857136,-142.8571428571395,-142.85714285713917
12,-135.81081081080765,-71.64054054054102,-125.67567567567286,33.10810810811406,-162.83783783783304
13,-126.04501607716799,-135.6913183279714,-129.26045016076927,-87.45980707395431,-151.76848874597624
14,-165.73208722740932,-230.67943925233388,-143.92523364485635,-87.85046728971977,-143.9252336448557
15,-158.62068965516772,-113.79310344827428,-127.58620689654933,-58.620689655173756,-148.27586206896163
16,-76.28865979381534,-145.6972508591034,-155.3264604810954,250.1718213058147,-134.70790378006447
17,-124.91467576791518,-131.74061433446826,-124.91467576791597,-46.41638225255648,-141.97952218429702
18,-157.3770491803234,-6.557377049179282,-134.42622950819322,-81.96721311475471,104.91803278689193
19,-138.70967741935175,119.35483870967992,-132.25806451612573,-129.03225806451346,261.2903225806362
20,-148.90510948904705,7.735036496351881,-46.71532846715367,11.678832116791938,128.4671532846773
21,-107.06319702601883,-72.2156133828999,-121.93308550185685,272.1189591077983,290.7063197025899
22,-64.76868327402154,-85.5669039145915,-128.82562277579834,195.01779359431117,255.51601423485872
23,-120.57761732851779,-80.97761732852048,-127.79783393501573,38.26714801444591,149.60072202165293
24,-125.26690391458862,-86.36690391459152,-143.06049822063693,184.34163701068672,820.2999999999765
25,-132.69230769230506,-91.29230769230833,-155.1282051282009,296.794871794876,-142.30769230768897
26,-139.10256410256076,-98.09230769230831,-135.89743589743298,511.53846153843256,-94.23076923076522
27,106.39730639731705,-11.447811447812946,-8.08080808080943,550.8417508417141,453.19865319862464
28,246.28099173554477,192.561983471057,-63.63636363636348,547.9338842974881,275.2066115702359
29,-121.8241042345258,-61.324104234528185,-131.59609120520918,513.355048859905,444.9511400651237
30,0.7168458781424877,146.86021505374657,-20.78853046594472,262.36559139781616,7.885304659504303
31,159.55056179776082,211.9850187265757,-128.8389513108588,65.917602996265,-16.83408239699881
32,456.24999999998374,414.58333333330575,-161.80555555555085,789.5833333332948,765.2777777777436
33,179.19463087248488,202.68456375838122,-75.83892617449472,862.999999999979,828.4999999999711
34,333.56890459361205,414.8409893992897,-154.06360424027852,407.77385159007554,750.5300353356582
35,380.44385964910384,249.12280701751322,-126.31578947368176,771.9298245613664,754.3859649122445
36,168.57639751552125,747.2049689440722,-44.720496894407205,616.7701863353673,601.242236024817
37,-45.36082474226478,779.3814432989343,64.60481099656667,748.4536082473917,758.7628865979069
38,196.90035587187748,629.1814946618889,-146.6192170818469,872.7999999999838,444.128113878975
39,857.4999999999847,855.899999999985,-182.0787003610107,651.985559566755,644.7653429602642
40,888.2999999999876,869.699999999983,-36.575875486377456,841.7999999999795,515.9533073929641
41,863.2999999999788,811.7999999999809,18.181818181816197,319.99999999996476,796.3636363636019
42,782.8178694157677,786.2542955326079,143.6426116838589,828.6999999999709,769.0721649484256
43,868.4999999999839,785.0187265917385,9.737827715353774,881.4999999999865,264.4194756554327
44,880.2999999999857,879.0999999999867,82.608695652184,796.3768115941814,781.8840579709852
45,134.24721189589718,628.9962825278462,272.11895910778594,884.9999999999831,740.5204460966205
46,346.46840148695554,872.6999999999817,320.44609665425213,777.695167286211,788.8475836430932
47,838.7999999999821,760.2649006622228,167.5496688741757,770.1986754966597,770.1986754966639
48,789.864864864826,878.2999999999774,343.9189189188883,818.699999999965,796.6216216215842
49,336.082474226771,851.4999999999729,614.432989690703,814.7999999999658,807.2999999999678
50,121.79930795848222,859.9999999999842,128.71972318340124,870.8999999999859,741.1764705882101
51,854.8999999999855,853.6999999999823,31.01265822785151,856.2999999999893,818.0999999999763
52,-13.283458646613866,861.999999999974,262.406015037601,842.6999999999854,862.0999999999771
53,822.5999999999789,851.6999999999751,211.37123745820162,38.057525083613655,803.8999999999686
54,866.2999999999762,869.3999999999791,314.0845070422531,858.4999999999753,847.1999999999764
55,232.25806451610356,836.9999999999804,138.70967741936013,793.5483870967439,839.1999999999824
56,232.6241134751494,871.9999999999849,413.4751773049389,889.5999999999858,834.9999999999814
57,781.1320754716663,891.9999999999876,754.7169811320464,894.1999999999884,870.5999999999842
58,744.4444444444115,868.5999999999782,22.222222222229746,897.2999999999843,848.1999999999788
59,588.778877887757,880.0999999999867,169.63696369637964,874.7999999999859,834.3999999999794
60,867.1999999999802,873.5999999999823,678.1362007168211,878.5999999999849,771.32616487452
61,767.6258992805386,796.4028776978039,710.0719424460132,899.4999999999831,835.2999999999718
62,870.8999999999772,871.0999999999788,-109.39597315436052,383.8926174496313,766.4429530201005
63,875.5999999999791,858.5999999999782,-24.999999999996277,884.8999999999803,774.999999999963
64,857.1999999999729,858.4999999999758,652.4590163934059,795.9016393442236,701.6393442622563
65,832.9999999999708,791.2023460410207,-18.181818181812975,474.4868035190281,764.8093841641862
66,885.3999999999893,792.779783393472,70.75812274369237,774.7292418772273,781.949458483728
67,773.7704918032445,783.6065573770178,304.9180327868823,884.6999999999856,796.7213114753785
68,887.2999999999832,871.1999999999804,506.09318996413174,898.1999999999871,857.0999999999782
69,835.299999999977,713.7931034482488,116.09195402299883,736.7816091953708,633.3333333333044
70,890.9999999999818,792.7272727272366,723.6363636363461,894.4999999999848,778.1818181817832
71,14.159744408946978,787.2204472843116,461.34185303513976,790.415335463226,755.2715654951785
72,899.699999999982,761.2676056337642,391.5492957746485,704.9295774647504,843.6999999999745
73,895.9999999999847,861.8999999999777,472.473867595792,779.0940766550169,789.5470383274942
74,893.4999999999895,786.7986798679545,512.8712871286901,880.399999999987,840.7999999999788
75,904.9999999999905,760.4743083003647,-45.84980237153827,903.7999999999903,858.6999999999836
76,796.6329966329577,732.6599326598954,217.5084175084283,877.1999999999797,557.5757575757218
77,874.5999999999877,221.92691029901127,-30.564784053152255,776.7441860464813,623.9202657807214
78,777.7777777777399,755.555555555518,711.111111111085,892.9999999999834,562.9629629629263
79,808.9999999999717,737.7162629757466,315.5709342560305,900.199999999991,852.4999999999826
80,875.7999999999855,772.1362229101882,478.0185758513659,793.8080495355728,793.8080495355754
81,622.9813664595895,744.0993788819495,359.006211180095,873.8999999999803,781.3664596272932
82,864.6999999999877,784.3749999999657,424.9999999999802,893.199999999985,616.4062499999657
83,627.8688524589808,625.1366120218248,215.30054644809258,830.1999999999696,387.4316939890418
84,901.7999999999824,854.1999999999755,197.2602739725957,884.9999999999797,769.1780821917425
85,891.5999999999825,771.4285714285336,396.42857142854405,897.3999999999835,655.1571428571146
86,902.3999999999826,885.1999999999795,762.4060150375583,788.721804511238,781.2030075187581
87,906.5999999999837,756.834532374063,746.0431654675925,886.8999999999814,767.6258992805376
88,898.3999999999876,858.8999999999804,143.97163120567748,651.0638297872,151.06382978723155
89,714.2857142856753,792.8571428571046,125.00000000001108,893.7999999999826,574.9999999999656
90,888.1999999999838,863.3999999999802,444.2307692307535,885.6999999999829,787.1794871794523
91,892.1999999999897,883.8999999999886,690.3654485049617,883.8999999999885,746.8438538205714
92,899.2999999999814,786.111111111071,494.44444444441837,897.9999999999803,574.3055555555205
93,882.5999999999766,786.9281045751222,466.6666666666461,828.3999999999639,737.9084967319972
94,849.0999999999711,796.9969969969599,76.27627627628658,793.993993993955,832.1999999999709
95,900.3999999999888,897.2999999999888,784.7328244274515,909.8999999999913,880.8999999999862
96,896.9999999999864,884.6999999999847,766.5427509293421,906.299999999987,788.847583643088
97,884.1999999999849,783.6065573770153,413.11475409833,889.1999999999853,537.7049180327555
98,789.4736842104867,876.5999999999794,256.14035087716826,896.5999999999831,785.9649122806635
99,893.4999999999915,789.169675090222,716.9675090252458,872.7999999999852,781.949458483725
100,899.5999999999821,855.9999999999735,715.4929577464495,899.1999999999824,875.4999999999782
101,761.6613418530004,883.5999999999846,694.5686900958224,889.4999999999859,828.0999999999738
102,803.2999999999687,874.8999999999802,489.2857142856834,303.57142857139155,596.4285714285352
103,888.3999999999825,878.3999999999809,170.62937062938073,897.0999999999841,775.5244755244408
104,908.2999999999851,891.6999999999827,-123.0769230769211,792.3076923076529,852.499999999973
105,898.9999999999908,893.8999999999899,346.71280276813775,880.1999999999881,796.5397923875123
106,783.1081081080667,796.6216216215818,627.7027027026762,888.2999999999803,776.3513513513134
107,873.6999999999784,703.1429429429198,178.37837837838347,879.9999999999795,748.9489489489131
108,890.3999999999821,792.9824561403121,-59.649122807015836,896.9999999999827,747.3684210525938
109,794.065281899078,437.15370919879774,-140.6528189910947,776.2611275964063,788.1305637981908
110,899.3999999999844,876.6999999999795,370.3703703703395,907.0999999999858,821.7999999999683
111,790.1315789473309,885.7999999999822,661.8421052631301,776.973684210488,678.2894736841744
112,890.0999999999802,819.9999999999641,-122.53521126760367,835.8999999999692,261.26760563378036
113,763.2107023410974,881.7999999999782,656.1872909698686,796.6555183946078,877.6999999999776
