episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-133.99,404.0,942,47.1,0.016833,0.3892,2000,20.1
2,-136.96,199.02,535,26.8,0.010867,0.1468,2000,19.5
3,-152.23,-27.11,98,4.9,0.008267,0.0553,2000,19.6
4,-131.37,-23.19,85,4.2,0.008321,0.05,2000,19.6
5,-19.11,291.94,603,30.1,0.009333,0.05,2000,19.8
6,-152.55,-44.28,64,3.2,0.012365,0.05,2000,19.6
7,-77.68,83.66,245,12.2,0.012456,0.05,2000,19.8
8,-131.27,-20.14,91,4.5,0.013862,0.05,2000,19.4
9,-221.23,-70.11,81,4.4,0.014229,0.05,1853,18.2
10,46.67,173.83,301,15.1,0.018693,0.05,2000,20.1
