episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-123.34,326.39,1001,50.0,0.022297,0.3892,2000,20.2
2,-116.13,450.32,1300,65.0,0.014893,0.1468,2000,22.1
3,-83.8,281.32,829,41.5,0.015687,0.0553,2000,22.9
4,-134.16,199.51,700,35.0,0.016795,0.05,2000,22.7
5,32.73,245.24,564,28.2,0.021405,0.05,2000,23.1
6,-157.69,-78.22,41,2.0,0.021464,0.05,2000,23.2
7,-143.4,-56.44,74,3.7,0.019339,0.05,2000,22.8
8,-129.01,243.39,802,40.1,0.018797,0.05,2000,23.4
9,-55.27,125.24,396,57.6,0.020837,0.05,687,7.5
10,-126.74,715.56,1979,99.0,0.024066,0.05,2000,23.3
11,-79.12,24.93,181,9.1,0.027575,0.05,2000,22.7
12,-142.57,-45.14,101,8.9,0.025974,0.05,1141,13.1
13,-57.63,45.42,200,10.0,0.030697,0.05,2000,23.4
14,-122.54,-26.32,118,5.9,0.029511,0.05,2000,23.0
15,-152.05,619.57,1777,88.8,0.030875,0.05,2000,22.7
16,-137.5,595.1,1694,84.7,0.032042,0.05,2000,23.1
17,-135.28,710.43,1979,99.0,0.031512,0.05,2000,23.5
18,147.69,432.62,860,43.0,0.033909,0.05,2000,23.5
19,390.48,991.89,1894,94.7,0.039783,0.05,2000,23.1
20,-132.2,708.68,1970,98.5,0.045043,0.05,2000,23.6
21,-134.78,710.73,1979,99.0,0.046409,0.05,2000,23.6
22,137.58,615.35,1332,66.6,0.048718,0.05,2000,24.0
23,-71.38,747.97,1977,98.8,0.044318,0.05,2000,23.9
24,-48.94,761.43,1977,98.8,0.045541,0.05,2000,24.4
25,-69.42,741.55,1958,97.9,0.047207,0.05,2000,24.0
26,244.83,777.7,1577,78.8,0.047357,0.05,2000,24.1
27,-130.56,704.07,1956,97.8,0.049979,0.05,2000,23.8
28,-60.22,497.07,1333,66.7,0.053762,0.05,2000,23.9
29,45.67,812.2,1962,98.1,0.055964,0.05,2000,23.8
30,328.05,807.63,1527,76.3,0.056379,0.05,2000,23.8
31,660.29,1094.18,1745,87.2,0.065947,0.05,2000,23.6
32,-118.3,715.82,1967,98.3,0.071185,0.05,2000,23.9
33,648.59,1071.95,1707,85.3,0.074688,0.05,2000,24.3
34,286.15,862.49,1727,86.3,0.086965,0.05,2000,24.1
35,-29.35,773.19,1977,98.8,0.087182,0.05,2000,24.3
36,238.65,767.19,1560,78.0,0.090054,0.05,2000,24.5
37,632.28,1124.57,1863,93.2,0.095271,0.05,2000,24.6
38,340.64,995.98,1979,99.0,0.101703,0.05,2000,24.4
39,130.07,869.64,1979,99.0,0.100926,0.05,2000,24.2
40,820.3,1190.58,1746,97.2,0.106519,0.05,1797,21.9
41,717.53,1221.72,1978,98.9,0.112542,0.05,2000,24.2
42,592.99,1047.8,1730,86.5,0.120248,0.05,2000,24.1
43,825.9,1172.74,1693,97.2,0.123199,0.05,1741,20.9
44,849.5,1101.7,1480,98.3,0.12592,0.05,1505,17.9
45,130.58,309.15,577,28.9,0.129116,0.05,2000,24.0
46,825.9,1169.94,1686,96.8,0.129541,0.05,1741,21.4
47,854.7,1081.62,1422,97.9,0.132956,0.05,1453,17.7
48,853.6,1075.36,1408,96.2,0.134238,0.05,1464,17.6
49,879.5,999.3,1179,97.8,0.139159,0.05,1205,14.2
50,851.3,1096.78,1465,98.5,0.142929,0.05,1487,17.7
