episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-124.09,663.16,1188,59.4,0.014394,0.3892,2000,18.7
2,-151.29,1126.88,1979,99.0,0.007046,0.1468,2000,19.9
3,-129.94,950.63,1671,83.5,0.007072,0.0553,2000,19.9
4,-131.37,1134.85,1979,99.0,0.008379,0.05,2000,20.0
5,-73.72,588.51,1030,51.5,0.008701,0.05,2000,20.3
6,-127.01,896.0,1578,78.9,0.010461,0.05,2000,19.9
7,-148.01,-1.6,96,4.8,0.011255,0.05,2000,20.2
8,-127.84,6.47,96,4.8,0.010792,0.05,2000,19.9
9,-129.29,106.08,263,13.2,0.010672,0.05,2000,19.9
10,-179.5,183.2,425,28.4,0.01129,0.05,1496,15.3
11,-117.86,1054.46,1836,91.8,0.014132,0.05,2000,20.7
12,-117.55,9.98,95,10.7,0.017058,0.05,886,8.8
13,-132.48,58.01,185,9.2,0.016809,0.05,2000,20.6
14,-134.58,800.57,1424,71.2,0.017203,0.05,2000,20.2
15,-127.59,1136.37,1979,99.0,0.016191,0.05,2000,20.1
16,-69.42,1158.43,1977,98.8,0.017332,0.05,2000,20.1
17,-138.57,1101.37,1928,96.4,0.017741,0.05,2000,20.0
18,167.21,623.69,928,46.4,0.022872,0.05,2000,20.1
19,-129.03,926.39,1630,81.5,0.022385,0.05,2000,20.1
20,-54.01,1164.59,1977,98.8,0.02392,0.05,2000,20.1
21,-121.93,1138.63,1979,99.0,0.025097,0.05,2000,20.0
22,-128.83,1135.87,1979,99.0,0.026342,0.05,2000,20.0
23,-127.8,1136.28,1979,99.0,0.029235,0.05,2000,20.0
24,-125.27,1137.29,1979,99.0,0.029451,0.05,2000,20.8
25,-132.69,1134.32,1979,99.0,0.029726,0.05,2000,20.5
26,-126.28,541.09,986,49.3,0.030777,0.05,2000,21.2
27,-132.66,1134.34,1979,99.0,0.030249,0.05,2000,20.5
28,-117.36,1140.46,1979,99.0,0.035161,0.05,2000,20.3
29,-131.6,1134.76,1979,99.0,0.03456,0.05,2000,20.3
30,-13.62,781.75,1312,65.6,0.03754,0.05,2000,20.6
31,-8.99,1182.6,1977,98.8,0.036939,0.05,2000,20.3
32,-123.61,1137.96,1979,99.0,0.03746,0.05,2000,20.2
33,-119.46,1139.61,1979,99.0,0.04048,0.05,2000,20.4
34,-129.33,788.27,1400,70.0,0.040611,0.05,2000,20.3
35,-122.81,1121.48,1951,97.5,0.042927,0.05,2000,20.3
36,-137.89,1132.24,1979,99.0,0.042769,0.05,2000,20.4
37,-28.18,1162.93,1957,97.8,0.046252,0.05,2000,20.3
38,56.23,907.49,1475,73.8,0.050542,0.05,2000,20.5
39,-124.19,1137.72,1979,99.0,0.055992,0.05,2000,20.3
40,64.59,1213.24,1979,99.0,0.055575,0.05,2000,20.1
41,-80.0,1154.2,1977,98.8,0.061646,0.05,2000,20.2
42,37.11,1202.25,1979,99.0,0.06304,0.05,2000,20.5
43,-61.42,1161.63,1977,98.8,0.059265,0.05,2000,20.4
44,-120.29,1139.28,1979,99.0,0.057715,0.05,2000,20.4
45,-114.5,1141.6,1979,99.0,0.055033,0.05,2000,20.5
46,-114.5,1141.6,1979,99.0,0.053785,0.05,2000,20.8
47,-123.84,1136.66,1977,98.8,0.049344,0.05,2000,20.9
48,-125.68,1137.13,1979,99.0,0.052963,0.05,2000,20.5
49,322.34,1316.33,1979,99.0,0.051707,0.05,2000,20.8
50,80.28,1133.11,1835,91.8,0.065653,0.05,2000,20.6
